Measure,Beat,Timestamp (s)
2,1,2.264
2,3,3.396
3,1,4.528
3,3,5.66
4,1,6.792
4,3,7.925
5,1,9.057
5,3,10.189
6,1,11.321
6,3,12.453
7,1,13.585
7,3,14.717
8,1,15.849
8,3,16.981
9,1,18.113
9,3,19.245
10,1,20.377
10,3,21.509
11,1,22.642
11,3,23.774
12,1,24.906
12,3,26.038
13,1,27.17
13,3,28.302
14,1,29.434
14,3,30.566
15,1,31.698
15,3,32.83
16,1,33.962
16,3,35.094
